smiles,mol,tpsa,mol_w,qed,HBA,HBD,logP,MR
CNCc1ccc(C)c(NC(=O)c2ccc(Nc3nc(-c4ccccc4)c4ccccc4n3)cc2)c1,<rdkit.Chem.rdchem.Mol object at 0x00000291433FD3F0>,78.94,473.2215604840008,0.25775423197457126,5,3,6.320520000000005,146.5945999999998
CNCc1ccc(C)c(NC(=O)c2ccc(Nc3nc(-c4ccccc4)c4ccccc4n3)cc2)c1,<rdkit.Chem.rdchem.Mol object at 0x00000291433FD450>,78.94,473.2215604840008,0.25775423197457126,5,3,6.320520000000005,146.5945999999998
CNCc1ccc(C)c(NC(=O)c2ccc(Nc3nc(-c4ccccc4)c4ccccc4n3)cc2)c1,<rdkit.Chem.rdchem.Mol object at 0x00000291433FD4B0>,78.94,473.2215604840008,0.25775423197457126,5,3,6.320520000000005,146.5945999999998
Clc1ccc2oc3c(nc([nH]c3=O)[C@@H]3CCCN3)c2c1,<rdkit.Chem.rdchem.Mol object at 0x00000291433FD510>,70.92,289.06180430400036,0.7224683040728446,4,2,2.7472000000000003,77.1234
Clc1ccc2oc3c(nc([nH]c3=O)[C@@H]3CCCN3)c2c1,<rdkit.Chem.rdchem.Mol object at 0x00000291433FD570>,70.92,289.06180430400036,0.7224683040728446,4,2,2.7472000000000003,77.1234
N[C@H]1[C@@H](CC[C@@H](OC(=O)N2CCC(CC2)n2c3cccnc3[nH]c2=O)c2ncccc12)c1cccc(F)c1F,<rdkit.Chem.rdchem.Mol object at 0x00000291433FD5D0>,119.12999999999998,534.2190951960008,0.3740380384480267,7,2,4.490000000000004,138.91809999999992
NC(=O)[C@@H](CC1CC1)[C@@H](CCC(F)(F)F)C(=O)N[C@H]1N=C(c2ccccc2)c2cccc(F)c2NC1=O,<rdkit.Chem.rdchem.Mol object at 0x00000291433FD630>,113.65,518.1941035720007,0.43749258377253075,4,3,3.9178000000000024,127.84580000000003
C[C@@H](OC(=O)Nc1c(C)noc1-c1ccc(cc1)-c1ccc(CC(O)=O)cc1)c1ccccc1,<rdkit.Chem.rdchem.Mol object at 0x00000291433FD690>,101.66,456.16852186800065,0.34059515486473985,6,2,6.2538200000000055,128.41250000000002
C[C@@H](OC(=O)Nc1c(C)noc1-c1ccc(cc1)-c1ccc(CC(O)=O)cc1)c1ccccc1,<rdkit.Chem.rdchem.Mol object at 0x00000291433FD6F0>,101.66,456.16852186800065,0.34059515486473985,6,2,6.2538200000000055,128.41250000000002
C[C@@H](OC(=O)Nc1c(C)noc1-c1ccc(cc1)-c1ccc(CC(O)=O)cc1)c1ccccc1,<rdkit.Chem.rdchem.Mol object at 0x00000291433FD750>,101.66,456.16852186800065,0.34059515486473985,6,2,6.2538200000000055,128.41250000000002
CSc1ccc(cc1)C(=O)N[C@@H]1CCCC[C@@H]1NC(=O)CNC(=O)c1cc(ccc1NC(=O)NC(C)C)C(F)(F)F,<rdkit.Chem.rdchem.Mol object at 0x00000291433FD7B0>,128.43,593.228360228001,0.2728611061186604,5,5,4.544400000000002,150.94349999999986
OC(CCCN1CCN(CC1)c1ncc(F)cn1)c1ccc(F)cc1,<rdkit.Chem.rdchem.Mol object at 0x00000291433FD810>,52.49,348.17616776400064,0.868729511649176,5,1,2.3906,91.23680000000003
OC(=O)COc1cccc(c1)-c1ocnc1-c1nc(c(o1)-c1ccccc1)-c1ccccc1,<rdkit.Chem.rdchem.Mol object at 0x00000291433FD870>,98.59,438.1215716760004,0.34308298971079315,7,1,5.794000000000005,121.43879999999997
COc1ccccc1N1CCN(CCN2C(=O)CC3(CCCC3)CC2=O)CC1,<rdkit.Chem.rdchem.Mol object at 0x00000291433FD8D0>,53.09,385.2365418520008,0.7293268770503469,5,0,2.5266,108.50200000000007
COc1ccccc1N1CCN(CCN2C(=O)CC3(CCCC3)CC2=O)CC1,<rdkit.Chem.rdchem.Mol object at 0x00000291433FD930>,53.09,385.2365418520008,0.7293268770503469,5,0,2.5266,108.50200000000007
COc1ccc2c(C(=O)c3cc(OC)c(OC)c(OC)c3)c(C)oc2c1O,<rdkit.Chem.rdchem.Mol object at 0x00000291433FD990>,87.36000000000001,372.12090298000055,0.6600113534482738,7,1,3.7122200000000034,98.69830000000005
COc1ccc2c(C(=O)c3cc(OC)c(OC)c(OC)c3)c(C)oc2c1O,<rdkit.Chem.rdchem.Mol object at 0x00000291433FD9F0>,87.36000000000001,372.12090298000055,0.6600113534482738,7,1,3.7122200000000034,98.69830000000005
Oc1ccc2CC3N(CC4CC4)CC[C@@]45[C@@H](Oc1c24)C(=O)\C(C[C@@]35O)=C\c1ccccc1,<rdkit.Chem.rdchem.Mol object at 0x00000291433FDA50>,70.0,429.19400834400074,0.7335847043044706,5,2,3.2189000000000023,119.59960000000001
Oc1ccc2CC3N(CC4CC4)CC[C@@]45[C@@H](Oc1c24)C(=O)\C(C[C@@]35O)=C\c1ccccc1,<rdkit.Chem.rdchem.Mol object at 0x00000291433FDAB0>,70.0,429.19400834400074,0.7335847043044706,5,2,3.2189000000000023,119.59960000000001
